5, 5
10, 10
25, 20
50, 48
100, 96
500, 471
1000, 934
2000, 1876
5000, 4687
10000, 9432
20000, 18779
50000, 46969
100000, 94188
200000, 188324
500000, 470725
1000000, 941491
totals.csv, 0
